employer_name,employee_city,employee_state,regular_hourly_rate_parsed_counts
"Charter Communications, LLC",Charlotte,NC,"{""18.48"": 1, ""23.69"": 1}"
"Charter Communications, LLC",Hickory,NC,"{""18.0"": 1}"
"Charter Communications, LLC",Schenectady,NY,"{""20.29"": 1}"
"Charter Communications, LLC",Columbia,SC,"{""18.01"": 1}"
"Charter Communications, LLC",Greenville,SC,"{""18.03"": 1}"
"Charter Communications, LLC",Rock Hill,SC,"{""20.0"": 1}"
"Charter Communications, LLC",Spartanburg,SC,"{""18.03"": 1}"
"Charter Communications, LLC",Austin,TX,"{""18.01"": 2}"
"Charter Communications, LLC",Brownsville,TX,"{""18.01"": 1}"
"Charter Communications, LLC",El Paso,TX,"{""20.0"": 1, ""20.76"": 1}"
"Charter Communications, LLC",Irving,TX,"{""18.0"": 1}"
"Charter Communications, LLC",Mission,TX,"{""20.0"": 1}"
"Charter Communications, LLC",San Antonio,TX,"{""18.01"": 2}"
"Charter Communications, LLC",West Milwaukee,WI,"{""18.87"": 1}"
"Chipotle Services, LLC",1145 W Baseline Rd Tempe,AZ,"{""16.25"": 1}"
"Chipotle Services, LLC",9330 E Static Ave Mesa,AZ,"{""14.75"": 1}"
"Chipotle Services, LLC",10605 Tabor Street,CA,"{""20.0"": 1}"
"Chipotle Services, LLC",18761 Benicia St Hesperia,CA,"{""24.35"": 1}"
"Chipotle Services, LLC",3156 California St Huntington Park,CA,"{""20.25"": 1}"
"Chipotle Services, LLC",6601 S Crenshaw 9 Los Angeles,CA,"{""20.5"": 1}"
"Chipotle Services, LLC",Antioch,CA,"{""20.0"": 1}"
"Chipotle Services, LLC",4716 Arbor Drive Rolling Meadows,IL,"{""20.0"": 1}"
"Chipotle Services, LLC",7103 Eby Dr,KS,"{""20.15"": 1}"
"Chipotle Services, LLC",20482 Norwood St Detroit,MI,"{""15.25"": 1}"
"Chipotle Services, LLC",41830 Carousel Street Novi,MI,"{""16.5"": 1}"
"Chipotle Services, LLC",1105 Cherry Meadow Lane Rock Hill,SC,"{""18.0"": 1}"
"Chipotle Services, LLC",6401 Burbank Way Plano,TX,"{""14.75"": 1}"
"Chipotle Services, LLC",6630 Elks Trace Richmond,TX,"{""13.1"": 1, ""15.5"": 1}"
Coadvantage Resources Inc,13506 Magdalene Park Dr,FL,"{""19.0"": 1}"
Coadvantage Resources Inc,9540 NW 25Th St Sunrise,FL,"{""20.0"": 1}"
Coadvantage Resources Inc,Eustis,FL,"{""17.0"": 1}"
Coadvantage Resources Inc,Oakland Park,FL,"{""15.0"": 1}"
Coadvantage Resources Inc,157 Whipple Ave Hinesville,GA,"{""2.13"": 1, ""7.25"": 1}"
Coadvantage Resources Inc,240 Canyon Rd Whitesburg,GA,"{""13.0"": 1}"
Coadvantage Resources Inc,240 Forehand Ln Sylvania,GA,"{""22.0"": 1}"
Coadvantage Resources Inc,Atlanta,GA,"{""22.0"": 1}"
Coadvantage Resources Inc,Richmond Hill,GA,"{""15.0"": 1}"
Coadvantage Resources Inc,305 E Main St Hawkeye,IA,"{""16.0"": 1}"
Coadvantage Resources Inc,390 Bushwick Ave,NY,"{""19.0"": 1}"
Costco Wholesale Corporation,Siloam Springs,AR,"{""30.9"": 1, ""31.9"": 1}"
Costco Wholesale Corporation,Phoenix,AZ,"{""28.2"": 1}"
Costco Wholesale Corporation,Tucson,AZ,"{""18.5"": 1}"
Costco Wholesale Corporation,Bakersfield,CA,"{""21.5"": 1}"
Costco Wholesale Corporation,Beaumont,CA,"{""18.5"": 1}"
Costco Wholesale Corporation,Chico,CA,"{""29.2"": 1}"
Costco Wholesale Corporation,Colton,CA,"{""21.0"": 2, ""22.0"": 1}"
Costco Wholesale Corporation,Fontana,CA,"{""20.5"": 1, ""21.5"": 1}"
Costco Wholesale Corporation,Garden Grove,CA,"{""30.9"": 1}"
Costco Wholesale Corporation,Hesperia,CA,"{""22.5"": 1}"
Costco Wholesale Corporation,Indio,CA,"{""29.9"": 1}"
Costco Wholesale Corporation,Irvine,CA,"{""18.5"": 1}"
Costco Wholesale Corporation,Long Beach,CA,"{""29.9"": 1}"
Costco Wholesale Corporation,Los Angeles,CA,"{""19.5"": 1}"
Costco Wholesale Corporation,Marysville,CA,"{""20.0"": 1}"
